batch_id,final_quality_grade,final_moisture_content,total_processing_time_hr,total_loss_kg,yield_percent,broken_rice_percent,contamination_flag,risk_level,anomaly_flag,traceability_complete_flag,outcome_timestamp
BATCH-2025-0228,substandard,15.94,359.63,1627.79,50.68,21.04,0,low,0,1,2025-07-03T02:25:36+07:00
BATCH-2025-0229,medium,14.86,381.84,1012.29,58.54,16.6,0,low,0,1,2025-06-06T21:41:22+07:00
BATCH-2025-0230,substandard,15.5,405.97,1823.9,56.07,34.0,1,high,1,0,2025-03-26T23:24:05+07:00
BATCH-2025-0231,medium,12.75,370.61,2236.68,54.79,20.41,0,low,0,1,2025-06-22T12:18:27+07:00
BATCH-2025-0232,substandard,15.71,336.3,1945.95,57.28,26.0,1,high,0,1,2025-03-04T04:11:55+07:00
BATCH-2025-0233,substandard,13.87,379.95,1054.97,56.23,32.64,0,medium,0,1,2025-05-12T01:07:08+07:00
BATCH-2025-0234,medium,14.74,482.92,2451.76,49.0,22.72,1,high,1,0,2025-07-28T07:13:28+07:00
BATCH-2025-0235,substandard,15.61,428.84,867.08,60.95,31.02,1,high,0,1,2025-05-25T14:57:14+07:00
BATCH-2025-0236,substandard,17.08,419.66,2372.03,59.73,31.1,1,high,1,1,2025-07-10T18:38:31+07:00
BATCH-2025-0237,medium,14.21,359.01,834.98,53.44,24.42,0,low,0,1,2025-05-20T22:33:44+07:00
BATCH-2025-0238,substandard,14.57,496.9,1524.15,52.27,34.0,0,high,1,0,2025-06-20T11:35:45+07:00
BATCH-2025-0239,substandard,15.27,422.24,1973.87,51.36,24.13,1,high,0,1,2025-06-21T17:04:24+07:00
BATCH-2025-0240,premium,13.96,243.93,1531.25,60.08,17.98,0,low,0,1,2025-04-11T20:57:40+07:00
BATCH-2025-0241,premium,13.61,313.02,2335.66,55.35,14.48,0,low,0,0,2025-06-20T02:05:06+07:00
BATCH-2025-0242,medium,14.68,278.63,763.46,54.66,20.99,0,low,0,1,2025-06-07T09:37:05+07:00
BATCH-2025-0243,medium,13.75,314.1,2673.5,56.6,13.11,1,medium,0,1,2025-03-26T03:24:49+07:00
BATCH-2025-0244,medium,12.28,257.38,1869.88,59.01,20.06,0,low,0,0,2025-05-10T17:01:33+07:00
BATCH-2025-0245,medium,14.45,582.1,1044.82,53.23,24.39,0,low,0,1,2025-03-27T10:23:12+07:00
BATCH-2025-0246,medium,13.71,281.51,967.68,62.0,18.9,0,low,0,1,2025-02-08T22:52:48+07:00
BATCH-2025-0247,substandard,13.85,470.33,1487.58,55.79,31.07,1,high,1,1,2025-05-24T02:17:57+07:00
BATCH-2025-0248,medium,13.87,368.41,1335.06,49.32,21.39,0,low,0,1,2025-03-12T08:11:26+07:00
BATCH-2025-0249,substandard,16.11,544.95,2749.44,55.43,19.15,1,medium,0,1,2025-02-25T21:42:44+07:00
BATCH-2025-0250,substandard,14.5,556.45,1208.26,55.58,27.01,0,medium,0,1,2025-07-20T09:05:47+07:00
BATCH-2025-0251,medium,13.1,434.68,1907.39,56.06,23.08,1,medium,0,0,2025-03-17T03:59:59+07:00
BATCH-2025-0252,medium,13.17,516.87,1454.69,58.67,24.07,1,high,0,0,2025-04-13T08:51:20+07:00
BATCH-2025-0253,medium,14.1,322.07,2467.23,50.67,21.8,0,low,0,1,2025-02-26T06:30:22+07:00
BATCH-2025-0254,substandard,12.99,344.54,1543.83,57.34,25.3,1,high,0,1,2025-06-21T08:50:08+07:00
BATCH-2025-0255,substandard,17.16,495.86,2260.42,56.59,34.0,0,high,1,0,2025-03-20T16:57:43+07:00
BATCH-2025-0256,substandard,15.39,316.87,1128.06,54.51,26.35,0,medium,0,1,2025-02-05T14:43:08+07:00
BATCH-2025-0257,medium,14.69,434.67,2260.65,55.07,20.78,0,low,0,1,2025-08-06T12:32:20+07:00
BATCH-2025-0258,substandard,12.14,416.87,2076.59,53.51,26.27,0,medium,0,1,2025-05-27T15:02:07+07:00
BATCH-2025-0259,medium,13.94,337.93,1824.38,57.39,21.79,0,low,0,1,2025-07-15T19:12:04+07:00
BATCH-2025-0260,substandard,12.93,248.91,1766.34,51.47,26.89,0,low,0,1,2025-01-31T19:34:28+07:00
BATCH-2025-0261,medium,13.85,434.42,2626.57,56.78,20.49,0,low,0,1,2025-02-18T10:11:16+07:00
BATCH-2025-0262,medium,14.59,472.09,1419.99,51.06,23.52,0,low,0,1,2025-04-08T01:51:30+07:00
BATCH-2025-0263,substandard,12.53,380.46,2868.01,50.03,26.79,0,medium,0,0,2025-02-26T11:17:41+07:00
BATCH-2025-0264,medium,13.34,394.42,1518.92,50.35,24.2,0,low,0,1,2025-04-06T18:52:57+07:00
BATCH-2025-0265,substandard,18.48,533.54,2495.17,49.0,22.77,0,high,1,0,2025-04-22T08:54:29+07:00
BATCH-2025-0266,medium,14.05,444.2,1669.66,58.36,19.73,0,low,0,1,2025-03-30T20:37:17+07:00
BATCH-2025-0267,medium,14.13,416.08,1270.67,56.06,23.67,0,medium,0,0,2025-02-13T12:14:59+07:00
BATCH-2025-0268,substandard,12.64,198.06,1337.66,50.25,30.37,0,medium,0,0,2025-06-12T16:41:27+07:00
BATCH-2025-0269,medium,13.64,386.72,1610.64,54.89,20.3,0,medium,0,0,2025-02-10T07:48:25+07:00
BATCH-2025-0270,medium,13.79,427.46,1025.9,56.44,22.03,0,low,0,1,2025-06-27T15:25:49+07:00
BATCH-2025-0271,medium,14.18,428.39,2051.99,53.06,18.3,0,medium,0,0,2025-07-24T02:02:27+07:00
BATCH-2025-0272,substandard,13.93,443.7,1194.36,52.08,32.47,0,medium,1,1,2025-02-22T13:24:06+07:00
BATCH-2025-0273,substandard,13.91,214.52,1812.75,59.38,26.52,0,medium,0,0,2025-05-22T14:09:55+07:00
BATCH-2025-0274,medium,14.18,346.61,2988.71,50.39,23.98,1,medium,0,1,2025-02-25T12:46:23+07:00
BATCH-2025-0275,medium,13.36,356.87,1965.2,59.06,21.86,0,low,0,1,2025-02-19T23:35:03+07:00
BATCH-2025-0276,medium,13.61,570.58,919.64,53.34,19.79,1,high,1,0,2025-05-06T20:50:36+07:00
BATCH-2025-0277,substandard,13.77,394.62,2451.37,60.42,33.78,0,medium,0,1,2025-08-01T13:22:10+07:00
BATCH-2025-0278,substandard,15.69,549.01,869.91,49.9,28.65,0,high,1,0,2025-02-26T02:08:27+07:00
BATCH-2025-0279,substandard,15.86,548.4,1431.92,50.34,34.0,1,high,1,0,2025-05-28T21:12:53+07:00
BATCH-2025-0280,substandard,14.02,322.96,953.94,56.94,25.61,1,high,0,1,2025-06-27T15:10:34+07:00
BATCH-2025-0281,substandard,15.03,348.61,2215.9,57.74,13.9,1,high,1,1,2025-03-25T08:56:36+07:00
BATCH-2025-0282,substandard,16.0,624.5,2959.93,49.52,34.0,1,high,1,1,2025-08-11T23:13:14+07:00
BATCH-2025-0283,substandard,13.83,342.14,2634.96,54.44,25.77,0,medium,0,1,2025-06-08T07:43:25+07:00
BATCH-2025-0284,substandard,16.18,528.67,787.57,55.88,25.36,1,high,1,0,2025-07-07T08:13:17+07:00
BATCH-2025-0285,substandard,15.24,440.85,2583.97,51.46,34.0,1,high,1,0,2025-05-26T19:06:47+07:00
BATCH-2025-0286,medium,14.86,489.99,1034.36,50.85,22.82,0,low,0,1,2025-04-24T08:30:40+07:00
BATCH-2025-0287,substandard,17.01,438.5,2208.86,56.9,33.23,1,high,1,0,2025-03-02T00:23:16+07:00
BATCH-2025-0288,medium,13.63,484.15,1723.34,60.17,21.26,0,low,0,1,2025-03-06T11:24:44+07:00
BATCH-2025-0289,substandard,15.47,308.37,1169.88,59.82,19.91,1,high,0,0,2025-05-14T19:03:18+07:00
BATCH-2025-0290,premium,11.69,313.39,2303.69,56.35,13.24,0,low,0,1,2025-07-10T07:36:16+07:00
BATCH-2025-0291,substandard,15.03,504.05,985.27,53.06,30.92,1,high,1,1,2025-05-10T08:01:00+07:00
BATCH-2025-0292,substandard,15.21,628.04,786.94,49.0,34.0,1,high,0,0,2025-05-12T14:07:10+07:00
BATCH-2025-0293,medium,13.32,342.6,2350.86,56.89,18.89,0,low,0,1,2025-02-13T03:06:48+07:00
BATCH-2025-0294,medium,14.18,391.61,817.77,52.17,16.3,0,medium,0,0,2025-06-18T11:17:31+07:00
BATCH-2025-0295,medium,14.51,380.53,2811.45,54.37,21.96,0,low,0,1,2025-06-25T16:41:02+07:00
BATCH-2025-0296,medium,13.3,527.59,1237.23,53.96,19.38,0,medium,1,1,2025-04-27T05:35:14+07:00
BATCH-2025-0297,premium,13.75,298.2,1416.96,53.9,11.8,0,low,0,1,2025-02-18T12:06:48+07:00
BATCH-2025-0298,medium,13.4,275.49,2859.38,52.25,19.63,0,low,0,1,2025-05-18T03:11:24+07:00
BATCH-2025-0299,medium,13.91,481.83,721.59,53.86,17.12,1,medium,1,1,2025-02-15T14:24:53+07:00
BATCH-2025-0300,medium,14.46,266.69,959.18,54.05,22.02,0,low,0,1,2025-04-09T06:43:37+07:00
BATCH-2025-0301,medium,13.66,347.06,2487.27,58.34,20.18,0,low,0,0,2025-04-19T08:51:49+07:00
BATCH-2025-0302,substandard,13.96,505.3,1257.49,50.4,25.26,1,high,1,0,2025-07-09T07:34:59+07:00
BATCH-2025-0303,medium,14.11,497.39,2175.0,55.77,13.37,0,low,0,1,2025-03-24T18:28:24+07:00
BATCH-2025-0304,substandard,16.14,476.53,2705.9,54.19,28.0,1,high,1,1,2025-08-08T04:19:33+07:00
BATCH-2025-0305,substandard,15.42,457.53,2213.15,53.79,25.93,1,high,0,0,2025-08-08T04:05:57+07:00
BATCH-2025-0306,substandard,13.41,244.48,1587.84,62.7,26.29,0,low,0,1,2025-03-14T06:34:54+07:00
BATCH-2025-0307,medium,14.8,542.54,1569.52,49.0,24.69,1,high,1,0,2025-03-29T13:43:30+07:00
BATCH-2025-0308,substandard,15.48,551.55,1395.96,56.59,29.98,0,high,1,0,2025-03-22T09:13:07+07:00
BATCH-2025-0309,substandard,15.24,552.14,2289.2,56.1,23.8,1,high,1,0,2025-02-14T23:18:18+07:00
BATCH-2025-0310,medium,13.98,298.8,2024.9,59.84,23.79,0,low,0,1,2025-03-20T07:54:12+07:00
BATCH-2025-0311,substandard,14.64,436.82,2105.46,52.86,27.48,1,high,0,0,2025-06-06T10:48:55+07:00
BATCH-2025-0312,medium,14.45,420.42,1193.49,50.4,18.7,0,low,0,1,2025-02-26T23:23:19+07:00
BATCH-2025-0313,substandard,14.9,370.27,628.43,58.42,34.0,0,medium,0,1,2025-06-02T08:39:29+07:00
BATCH-2025-0314,medium,14.32,409.04,2346.15,50.6,21.85,1,medium,0,0,2025-03-14T18:01:31+07:00
BATCH-2025-0315,medium,14.41,467.47,1444.66,59.16,21.41,0,low,0,1,2025-02-07T08:13:15+07:00
BATCH-2025-0316,medium,13.17,409.87,2184.01,53.57,22.7,1,medium,0,1,2025-04-01T11:31:58+07:00
BATCH-2025-0317,substandard,13.55,263.73,1584.83,51.82,25.66,1,high,0,0,2025-06-22T07:15:47+07:00
BATCH-2025-0318,substandard,12.1,394.77,1729.19,55.81,26.51,0,low,0,1,2025-03-11T16:33:29+07:00
BATCH-2025-0319,substandard,15.32,439.06,1363.06,55.1,29.12,1,high,0,1,2025-03-10T17:17:36+07:00
BATCH-2025-0320,substandard,16.38,414.48,1583.49,53.92,29.07,1,high,0,0,2025-04-28T21:25:45+07:00
BATCH-2025-0321,substandard,15.94,343.34,2831.69,52.86,34.0,1,high,1,0,2025-07-29T17:49:11+07:00
BATCH-2025-0322,substandard,14.33,442.95,2543.81,57.39,28.25,0,medium,0,1,2025-07-05T07:59:01+07:00
BATCH-2025-0323,substandard,12.77,281.54,620.18,60.42,25.32,1,high,0,0,2025-03-13T23:40:41+07:00
BATCH-2025-0324,substandard,16.74,667.55,2031.03,54.84,28.57,1,high,1,1,2025-07-14T01:42:58+07:00
BATCH-2025-0325,medium,13.7,442.18,2103.1,54.45,24.2,0,low,0,1,2025-03-28T12:42:00+07:00
BATCH-2025-0326,premium,13.17,339.08,1982.07,50.76,15.7,0,low,0,1,2025-06-03T21:11:42+07:00
BATCH-2025-0327,substandard,15.25,416.86,2235.13,49.26,29.0,0,high,1,0,2025-07-23T23:14:38+07:00
BATCH-2025-0328,substandard,15.71,443.33,1563.42,50.6,25.4,1,high,0,1,2025-03-06T21:13:03+07:00
BATCH-2025-0329,medium,13.7,352.29,1394.8,55.48,17.88,1,medium,0,0,2025-06-25T19:00:36+07:00
BATCH-2025-0330,medium,14.19,446.81,2158.62,58.86,19.69,0,low,0,1,2025-04-25T21:47:31+07:00
BATCH-2025-0331,substandard,15.76,512.67,2635.66,54.57,27.81,1,high,1,0,2025-07-03T04:21:17+07:00
BATCH-2025-0332,medium,12.39,381.64,2149.24,60.18,22.96,0,medium,0,0,2025-06-14T05:43:40+07:00
BATCH-2025-0333,medium,13.45,311.34,2169.34,54.47,22.65,0,low,0,1,2025-03-28T04:01:13+07:00
BATCH-2025-0334,substandard,15.42,318.47,1187.95,55.44,16.9,1,high,0,0,2025-02-27T15:00:06+07:00
BATCH-2025-0335,substandard,13.87,327.97,2777.97,51.04,28.2,1,high,0,1,2025-02-17T11:51:06+07:00
BATCH-2025-0336,medium,13.16,516.29,2056.95,51.36,24.57,1,high,1,0,2025-04-18T05:41:38+07:00
BATCH-2025-0337,substandard,15.86,540.21,670.39,58.89,34.0,1,high,1,1,2025-05-22T00:59:36+07:00
BATCH-2025-0338,medium,13.37,420.11,2917.45,49.75,19.55,0,low,0,1,2025-07-23T09:05:25+07:00
BATCH-2025-0339,substandard,14.94,525.42,706.31,58.4,27.6,1,medium,0,1,2025-04-09T06:13:07+07:00
BATCH-2025-0340,substandard,16.89,652.72,2442.98,53.08,24.67,1,high,1,0,2025-06-24T02:40:16+07:00
BATCH-2025-0341,substandard,15.52,438.17,2851.33,49.72,17.7,1,medium,0,1,2025-07-21T16:31:10+07:00
BATCH-2025-0342,substandard,16.52,585.49,2585.34,52.25,29.59,1,high,1,1,2025-03-18T23:30:12+07:00
BATCH-2025-0343,medium,14.57,476.05,2795.28,50.49,20.5,1,medium,0,1,2025-06-16T04:21:47+07:00
BATCH-2025-0344,substandard,13.39,417.46,1335.92,55.21,27.0,0,medium,0,1,2025-02-09T21:05:33+07:00
BATCH-2025-0345,medium,13.43,436.2,1929.41,61.3,23.1,1,medium,0,0,2025-03-20T15:53:53+07:00
BATCH-2025-0346,medium,14.49,486.91,2008.24,57.93,23.32,0,low,0,1,2025-03-29T10:50:43+07:00
BATCH-2025-0347,premium,13.02,436.47,955.41,59.06,16.99,0,low,0,1,2025-06-01T10:40:58+07:00
BATCH-2025-0348,substandard,16.05,619.24,773.35,58.47,34.0,1,high,1,1,2025-05-25T23:24:16+07:00
BATCH-2025-0349,medium,14.08,325.6,1796.45,61.59,18.25,0,low,0,1,2025-03-07T13:58:04+07:00
BATCH-2025-0350,substandard,15.82,321.86,1232.49,51.29,19.92,1,medium,0,1,2025-07-02T12:56:30+07:00
BATCH-2025-0351,medium,14.58,501.27,1604.42,53.48,19.87,1,high,1,0,2025-04-25T10:47:59+07:00
BATCH-2025-0352,medium,14.76,429.37,2486.68,51.99,18.94,0,low,0,0,2025-07-20T16:44:55+07:00
BATCH-2025-0353,substandard,15.36,555.97,1262.39,59.21,30.18,1,high,1,1,2025-05-20T04:43:25+07:00
BATCH-2025-0354,medium,13.96,573.54,2635.43,52.97,23.96,0,low,0,1,2025-07-31T10:23:25+07:00
BATCH-2025-0355,substandard,15.25,479.37,2303.73,54.33,14.73,1,high,0,1,2025-08-04T05:17:17+07:00
BATCH-2025-0356,substandard,15.89,454.94,1501.9,62.22,33.98,1,high,1,1,2025-05-14T09:18:32+07:00
BATCH-2025-0357,medium,14.82,369.69,2025.09,53.43,23.18,0,low,0,1,2025-04-29T08:45:13+07:00
BATCH-2025-0358,medium,14.57,329.58,1237.42,60.44,24.77,0,low,0,1,2025-04-26T07:10:37+07:00
BATCH-2025-0359,substandard,15.34,501.87,1931.93,54.74,34.0,1,high,1,1,2025-07-14T18:21:19+07:00
BATCH-2025-0360,medium,13.91,475.63,662.46,56.53,23.55,1,high,1,0,2025-07-20T13:13:56+07:00
BATCH-2025-0361,substandard,15.14,500.59,1477.69,57.03,26.8,1,high,0,1,2025-06-07T15:59:37+07:00
BATCH-2025-0362,substandard,16.96,443.76,1332.67,55.98,25.81,1,high,1,0,2025-02-22T20:39:26+07:00
BATCH-2025-0363,substandard,12.38,412.91,822.22,55.49,28.86,0,medium,0,1,2025-02-14T04:03:51+07:00
BATCH-2025-0364,substandard,17.18,482.73,1853.23,50.51,30.99,1,high,1,1,2025-02-21T01:10:32+07:00
BATCH-2025-0365,substandard,13.49,356.97,1123.09,50.91,26.57,0,medium,0,0,2025-03-19T09:14:28+07:00
BATCH-2025-0366,substandard,16.21,700.6,3176.75,49.0,34.0,1,high,1,0,2025-04-02T10:16:02+07:00
BATCH-2025-0367,substandard,16.07,406.51,2637.39,56.83,28.15,0,high,1,0,2025-05-17T15:41:29+07:00
BATCH-2025-0368,substandard,17.84,433.54,1332.87,57.81,33.51,1,high,1,1,2025-04-22T21:01:40+07:00
BATCH-2025-0369,medium,13.36,312.62,1384.36,52.29,22.3,0,low,0,1,2025-02-27T04:55:11+07:00
BATCH-2025-0370,medium,12.64,299.05,735.1,59.47,22.28,0,low,0,1,2025-07-09T21:11:13+07:00
BATCH-2025-0371,substandard,15.54,378.26,2161.66,63.22,17.65,1,high,0,0,2025-07-06T10:37:53+07:00
BATCH-2025-0372,substandard,15.15,355.1,999.73,56.82,27.06,0,medium,0,1,2025-07-12T10:33:44+07:00
BATCH-2025-0373,substandard,16.18,604.78,1105.85,51.26,34.0,1,high,1,1,2025-03-06T19:35:57+07:00
BATCH-2025-0374,medium,14.28,438.97,1885.49,49.0,21.33,1,medium,1,1,2025-06-20T17:49:02+07:00
BATCH-2025-0375,substandard,14.86,382.3,2267.16,54.53,27.47,1,medium,0,1,2025-07-22T05:01:57+07:00
BATCH-2025-0376,medium,13.82,432.02,2290.55,54.22,21.06,0,low,0,1,2025-02-13T03:58:18+07:00
BATCH-2025-0377,substandard,16.16,517.78,1201.62,51.04,30.48,1,high,1,0,2025-06-25T09:12:53+07:00
BATCH-2025-0378,substandard,13.58,282.95,775.01,56.94,25.5,1,medium,0,1,2025-04-13T13:13:01+07:00
BATCH-2025-0379,substandard,15.4,570.51,2362.01,54.54,34.0,1,high,1,1,2025-03-22T04:54:24+07:00
BATCH-2025-0380,substandard,15.16,613.48,2120.13,50.26,31.81,1,high,1,1,2025-05-15T18:49:32+07:00
BATCH-2025-0381,substandard,18.05,577.22,2349.26,56.81,34.0,1,high,1,0,2025-07-08T13:26:02+07:00
BATCH-2025-0382,medium,14.17,307.05,1557.42,51.97,23.2,0,low,0,0,2025-05-06T23:47:53+07:00
BATCH-2025-0383,substandard,16.2,517.56,1355.36,53.22,30.34,1,high,0,0,2025-05-07T17:10:48+07:00
BATCH-2025-0384,medium,12.51,421.57,1256.63,59.13,18.17,0,low,0,1,2025-06-29T16:46:57+07:00
BATCH-2025-0385,substandard,17.96,624.31,798.32,49.0,32.58,1,high,1,1,2025-05-17T03:27:26+07:00
BATCH-2025-0386,substandard,15.58,389.19,2459.02,54.78,21.41,0,medium,0,0,2025-03-24T12:00:35+07:00
BATCH-2025-0387,medium,13.9,385.41,2109.47,57.98,20.9,0,low,0,0,2025-08-04T05:23:35+07:00
BATCH-2025-0388,substandard,14.51,490.39,1751.74,56.22,28.59,0,medium,0,1,2025-06-29T20:00:07+07:00
BATCH-2025-0389,substandard,15.4,401.63,2605.95,55.12,29.65,1,high,1,1,2025-04-25T16:47:42+07:00
BATCH-2025-0390,substandard,16.88,692.25,2466.08,51.5,32.23,1,high,1,0,2025-06-12T02:59:58+07:00
BATCH-2025-0391,substandard,13.29,341.39,1222.59,58.35,25.5,0,low,0,1,2025-04-22T20:33:21+07:00
BATCH-2025-0392,substandard,15.03,525.78,2364.86,56.8,30.49,1,high,1,1,2025-04-10T07:36:44+07:00
BATCH-2025-0393,medium,13.04,252.87,1020.26,54.63,20.06,0,low,0,1,2025-04-14T01:58:16+07:00
BATCH-2025-0394,premium,13.14,443.5,1825.77,59.33,14.71,0,low,0,0,2025-07-03T15:01:02+07:00
BATCH-2025-0395,medium,14.15,558.35,1620.59,56.66,21.18,0,low,0,1,2025-08-03T22:53:06+07:00
BATCH-2025-0396,medium,13.32,462.28,1629.07,54.36,22.26,1,medium,0,1,2025-07-02T08:01:05+07:00
BATCH-2025-0397,medium,14.87,336.36,1499.88,62.27,17.71,0,low,0,1,2025-03-01T12:39:22+07:00
BATCH-2025-0398,substandard,13.32,491.58,1259.28,50.7,26.85,1,high,1,1,2025-04-16T05:46:52+07:00
BATCH-2025-0399,substandard,16.31,579.24,2223.72,54.91,34.0,1,high,1,1,2025-06-03T01:12:17+07:00
BATCH-2025-0400,substandard,17.88,436.46,1224.19,50.21,34.0,1,high,1,1,2025-05-02T17:42:53+07:00
BATCH-2025-0401,medium,13.72,522.95,772.35,54.35,23.17,0,low,0,1,2025-02-17T22:23:59+07:00
BATCH-2025-0402,medium,12.86,564.29,1095.17,51.31,16.27,1,high,1,1,2025-06-05T14:09:14+07:00
BATCH-2025-0403,medium,14.34,431.55,2059.72,54.75,17.42,1,medium,0,1,2025-06-11T14:26:50+07:00
BATCH-2025-0404,medium,14.03,286.28,2426.09,59.76,16.65,0,low,0,1,2025-04-20T13:01:42+07:00
BATCH-2025-0405,substandard,15.85,243.7,1108.25,61.93,15.64,0,medium,0,0,2025-05-02T19:19:42+07:00
BATCH-2025-0406,medium,13.65,455.02,1459.9,50.0,23.4,0,medium,0,0,2025-05-08T09:40:08+07:00
BATCH-2025-0407,medium,13.98,430.99,2431.76,54.12,23.56,1,high,0,0,2025-03-31T09:58:34+07:00
BATCH-2025-0408,substandard,16.44,563.8,2102.06,50.35,25.54,0,high,1,0,2025-05-02T13:57:10+07:00
BATCH-2025-0409,medium,12.32,424.05,1293.66,54.86,22.0,0,medium,0,0,2025-04-12T22:37:00+07:00
BATCH-2025-0410,medium,14.55,407.87,2281.25,51.5,20.11,0,medium,0,0,2025-02-14T05:26:23+07:00
BATCH-2025-0411,medium,14.91,394.12,2255.73,61.82,22.53,0,low,0,1,2025-03-31T22:00:10+07:00
BATCH-2025-0412,substandard,15.09,327.36,2459.96,58.91,19.23,0,low,0,1,2025-07-13T21:09:41+07:00
BATCH-2025-0413,substandard,14.17,329.61,2425.26,54.97,27.92,0,medium,0,1,2025-05-15T09:40:18+07:00
BATCH-2025-0414,medium,14.21,289.21,1322.23,51.3,11.24,0,low,0,1,2025-07-09T18:54:33+07:00
BATCH-2025-0415,substandard,14.81,329.03,950.77,57.07,32.22,1,high,0,1,2025-07-14T11:38:54+07:00
BATCH-2025-0416,medium,13.6,479.98,2544.46,54.35,21.68,0,medium,1,1,2025-03-11T21:23:54+07:00
BATCH-2025-0417,medium,14.5,352.26,2765.54,54.24,16.77,1,medium,0,1,2025-03-09T16:35:37+07:00
BATCH-2025-0418,medium,14.3,331.7,2640.61,51.28,22.19,0,low,0,1,2025-06-22T22:00:51+07:00
BATCH-2025-0419,medium,14.14,269.54,1955.15,59.38,6.5,0,low,0,1,2025-02-14T23:05:17+07:00
BATCH-2025-0420,medium,13.65,350.01,2697.48,52.12,20.61,0,low,0,1,2025-06-02T23:21:27+07:00
BATCH-2025-0421,substandard,13.82,387.86,1128.07,55.29,30.4,1,high,1,1,2025-05-16T22:48:30+07:00
BATCH-2025-0422,medium,14.58,290.29,2063.97,53.81,24.54,0,low,0,1,2025-06-06T10:46:29+07:00
BATCH-2025-0423,premium,13.39,302.64,1766.86,54.99,14.89,0,low,0,1,2025-06-08T15:21:18+07:00
BATCH-2025-0424,medium,12.34,444.64,1830.98,60.94,22.66,0,low,0,1,2025-05-09T01:21:31+07:00
BATCH-2025-0425,medium,13.76,417.49,1746.89,49.0,24.81,0,medium,1,0,2025-03-23T19:09:19+07:00
BATCH-2025-0426,substandard,16.15,552.14,1534.57,54.84,34.0,1,high,1,0,2025-07-26T22:15:35+07:00
BATCH-2025-0427,substandard,14.15,521.05,2527.66,55.29,26.44,0,medium,0,1,2025-06-05T04:44:44+07:00
BATCH-2025-0428,medium,14.93,362.95,1568.5,54.63,13.81,0,low,0,0,2025-03-30T15:38:03+07:00
BATCH-2025-0429,substandard,16.1,595.41,1198.08,55.25,28.93,0,high,1,0,2025-02-22T02:05:22+07:00
BATCH-2025-0430,substandard,15.17,459.75,2094.1,50.81,22.61,0,low,0,1,2025-02-20T14:02:56+07:00
BATCH-2025-0431,substandard,15.94,489.88,2786.75,52.77,28.97,1,high,1,1,2025-07-15T14:21:01+07:00
BATCH-2025-0432,substandard,14.77,580.45,2280.1,56.08,33.16,0,medium,1,1,2025-03-08T13:35:53+07:00
BATCH-2025-0433,substandard,17.1,515.88,1439.22,51.28,34.0,1,high,1,0,2025-07-17T11:44:55+07:00
BATCH-2025-0434,substandard,15.09,387.52,1186.11,58.24,19.02,1,medium,0,1,2025-04-10T21:48:18+07:00
BATCH-2025-0435,medium,12.29,284.19,2116.17,54.77,13.44,1,medium,0,1,2025-02-08T13:24:32+07:00
BATCH-2025-0436,medium,14.5,493.03,2595.45,54.45,18.65,0,low,0,1,2025-05-03T23:23:44+07:00
BATCH-2025-0437,substandard,17.62,560.76,2580.37,51.86,34.0,1,high,1,0,2025-02-15T19:33:27+07:00
BATCH-2025-0438,substandard,14.02,461.21,2123.05,56.87,34.0,1,high,1,1,2025-03-17T10:36:29+07:00
BATCH-2025-0439,medium,14.74,469.9,1072.61,54.08,22.31,0,low,0,1,2025-05-01T23:53:55+07:00
BATCH-2025-0440,medium,14.33,374.76,1951.05,55.72,22.03,1,medium,0,1,2025-06-04T01:52:27+07:00
BATCH-2025-0441,substandard,14.18,494.14,1039.87,53.76,28.93,0,high,1,0,2025-06-14T17:46:36+07:00
BATCH-2025-0442,substandard,16.49,488.01,1491.98,56.11,31.0,1,high,1,1,2025-08-01T06:12:27+07:00
BATCH-2025-0443,substandard,15.1,516.43,1527.83,54.07,33.66,1,high,1,1,2025-05-17T12:47:49+07:00
BATCH-2025-0444,medium,14.46,470.59,1188.19,54.53,24.47,1,medium,0,1,2025-08-07T17:00:23+07:00
BATCH-2025-0445,medium,14.74,304.97,1289.54,56.51,22.25,0,low,0,1,2025-04-24T16:41:01+07:00
BATCH-2025-0446,substandard,13.9,411.54,2192.98,54.19,25.97,1,high,0,0,2025-07-30T18:44:17+07:00
BATCH-2025-0447,substandard,15.52,429.57,2051.78,58.56,29.38,1,high,1,0,2025-04-22T18:31:26+07:00
BATCH-2025-0448,substandard,13.91,329.68,2487.45,52.82,26.18,1,high,0,0,2025-02-01T21:08:47+07:00
BATCH-2025-0449,medium,14.24,339.46,2358.56,54.83,21.99,1,medium,0,1,2025-03-27T12:32:29+07:00
BATCH-2025-0450,medium,14.87,427.81,1561.36,57.51,21.78,0,medium,0,0,2025-06-09T14:45:22+07:00
BATCH-2025-0451,medium,13.92,369.49,3009.45,50.05,17.34,1,medium,0,1,2025-06-07T08:47:25+07:00
BATCH-2025-0452,substandard,13.57,566.46,2756.3,51.68,26.73,1,high,1,1,2025-03-11T13:59:46+07:00
BATCH-2025-0453,medium,14.15,406.82,2858.78,50.21,21.73,1,high,0,0,2025-05-11T06:59:02+07:00
BATCH-2025-0454,medium,13.54,457.51,1988.67,63.16,23.92,1,medium,0,1,2025-05-11T01:07:33+07:00
BATCH-2025-0455,medium,14.44,446.56,2339.86,55.52,16.66,0,medium,0,0,2025-06-26T15:56:38+07:00
BATCH-2025-0456,substandard,16.93,463.66,2074.59,50.35,34.0,1,high,1,0,2025-06-06T13:10:34+07:00
